targeted_fraction,targeted_users,estimated_incremental_outcomes,gross_value,contact_cost,estimated_net_value,value_per_incremental_outcome,cost_per_contact,evaluation_split,selected_on_validation
0.45,3836,324.15300223310015,1620.7650111655007,1918.0,-297.2349888344993,5.0,0.5,test,False
0.46,3921,338.15652231323946,1690.7826115661974,1960.5,-269.7173884338026,5.0,0.5,test,False
0.47000000000000003,4006,336.1605114914408,1680.8025574572039,2003.0,-322.1974425427961,5.0,0.5,test,False
0.48000000000000004,4092,330.1621540229691,1650.8107701148456,2046.0,-395.1892298851544,5.0,0.5,test,False
0.49,4177,324.16473519114066,1620.8236759557033,2088.5,-467.67632404429673,5.0,0.5,test,False
0.5,4262,332.16708189287857,1660.8354094643928,2131.0,-470.1645905356072,5.0,0.5,test,False
0.51,4347,336.1698978578732,1680.849489289366,2173.5,-492.6505107106341,5.0,0.5,test,False
0.52,4432,338.17200981785294,1690.8600490892647,2216.0,-525.1399509107353,5.0,0.5,test,False
0.53,4518,340.1741217778327,1700.8706088891633,2259.0,-558.1293911108367,5.0,0.5,test,False
0.54,4603,342.1781110110989,1710.8905550554946,2301.5,-590.6094449445054,5.0,0.5,test,False
0.55,4688,358.18139645960986,1790.9069822980493,2344.0,-553.0930177019507,5.0,0.5,test,False
0.56,4773,362.182335151318,1810.91167575659,2386.5,-575.5883242434099,5.0,0.5,test,False
0.5700000000000001,4859,374.1846819081208,1870.923409540604,2429.5,-558.5765904593959,5.0,0.5,test,False
0.5800000000000001,4944,382.1865592915371,1910.9327964576855,2472.0,-561.0672035423145,5.0,0.5,test,False
0.59,5029,400.18867147177644,2000.9433573588822,2514.5,-513.5566426411178,5.0,0.5,test,False
0.6,5114,394.191252639948,1970.95626319974,2557.0,-586.0437368002599,5.0,0.5,test,False
0.61,5200,392.19383386318447,1960.9691693159223,2600.0,-639.0308306840777,5.0,0.5,test,False
0.62,5285,404.19571130166565,2020.9785565083282,2642.5,-621.5214434916718,5.0,0.5,test,False
0.63,5370,420.1989967501766,2100.994983750883,2685.0,-584.005016249117,5.0,0.5,test,False
0.64,5455,424.20228203349285,2121.0114101674644,2727.5,-606.4885898325356,5.0,0.5,test,False
0.65,5540,434.204863421924,2171.02431710962,2770.0,-598.9756828903801,5.0,0.5,test,False
0.66,5626,440.20697543696866,2201.0348771848435,2813.0,-611.9651228151565,5.0,0.5,test,False
0.67,5711,448.20885282038495,2241.044264101925,2855.5,-614.4557358980751,5.0,0.5,test,False
0.68,5796,452.2102608304147,2261.0513041520735,2898.0,-636.9486958479265,5.0,0.5,test,False
0.6900000000000001,5881,462.21425017381074,2311.0712508690535,2940.5,-629.4287491309465,5.0,0.5,test,False
0.7000000000000001,5967,476.2163622989852,2381.081811494926,2983.5,-602.4181885050739,5.0,0.5,test,False
0.7100000000000001,6052,484.2187090007231,2421.0935450036154,3026.0,-604.9064549963846,5.0,0.5,test,False
0.72,6137,486.2198823240596,2431.099411620298,3068.5,-637.4005883797022,5.0,0.5,test,False
0.73,6222,496.2215250758475,2481.1076253792376,3111.0,-629.8923746207624,5.0,0.5,test,False
0.74,6308,502.22363709089217,2511.1181854544607,3154.0,-642.8818145455393,5.0,0.5,test,False
0.75,6393,506.22504510092193,2531.1252255046097,3196.5,-665.3747744953903,5.0,0.5,test,False
0.76,6478,502.2283302741084,2511.1416513705417,3239.0,-727.8583486294583,5.0,0.5,test,False
0.77,6563,510.2316156124895,2551.1580780624477,3281.5,-730.3419219375523,5.0,0.5,test,False
0.78,6648,520.2327890459559,2601.1639452297795,3324.0,-722.8360547702205,5.0,0.5,test,False
0.79,6734,526.2349010610005,2631.1745053050026,3367.0,-735.8254946949974,5.0,0.5,test,False
0.8,6819,522.2377169158653,2611.1885845793267,3409.5,-798.3114154206733,5.0,0.5,test,False
0.81,6904,532.2407676226181,2661.2038381130906,3452.0,-790.7961618869094,5.0,0.5,test,False
0.8200000000000001,6989,536.2435835876128,2681.2179179380637,3494.5,-813.2820820619363,5.0,0.5,test,False
0.8300000000000001,7075,540.2454609159641,2701.2273045798206,3537.5,-836.2726954201794,5.0,0.5,test,False
0.8400000000000001,7160,560.2478077828968,2801.239038914484,3580.0,-778.7609610855161,5.0,0.5,test,False
0.85,7245,568.2501544846347,2841.250772423173,3622.5,-781.2492275768268,5.0,0.5,test,False
0.86,7330,568.2539090312076,2841.269545156038,3665.0,-823.730454843962,5.0,0.5,test,False
0.87,7416,570.2550823545441,2851.275411772721,3708.0,-856.7245882272791,5.0,0.5,test,False
0.88,7501,582.2569597930253,2911.2847989651264,3750.5,-839.2152010348736,5.0,0.5,test,False
0.89,7586,592.2590718631349,2961.2953593156744,3793.0,-831.7046406843256,5.0,0.5,test,False
0.9,7671,598.2616531965011,2991.308265982506,3835.5,-844.1917340174941,5.0,0.5,test,False
0.91,7756,596.2632957830943,2981.3164789154716,3878.0,-896.6835210845284,5.0,0.5,test,False
0.92,7842,604.2665811214755,3021.3329056073776,3921.0,-899.6670943926224,5.0,0.5,test,False
0.93,7927,606.2668158081688,3031.334079040844,3963.5,-932.1659209591562,5.0,0.5,test,False
0.9400000000000001,8012,618.2705705199364,3091.352852599682,4006.0,-914.6471474003179,5.0,0.5,test,False
0.9500000000000001,8097,612.2726823697864,3061.3634118489317,4048.5,-987.1365881510683,5.0,0.5,test,False
0.9600000000000001,8183,630.2762025049906,3151.381012524953,4091.5,-940.1189874750471,5.0,0.5,test,False
0.97,8268,626.279487678177,3131.3974383908853,4134.0,-1002.6025616091147,5.0,0.5,test,False
0.98,8353,638.2841810265879,3191.42090513294,4176.5,-985.0790948670601,5.0,0.5,test,False
0.99,8438,646.2865277283258,3231.432638641629,4219.0,-987.5673613583708,5.0,0.5,test,False
1.0,8523,652.2891090616921,3261.4455453084606,4261.5,-1000.0544546915394,5.0,0.5,test,False
